References,Value,Footprint,Quantity,Component Package,Testing Procedures,Procedures,Others,LCSC,Digikey
"C1, C3, C12, C14, C18, C20, C21, C22, C23",0.1uF,C_0402_1005Metric,9,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1525,
"C15, C16",10pF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C32949,
"C19, C28",4.7uF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C23733,
"C27, C36",1uF,C_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C52923,
C24,1000pF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1523,
C25,100pF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C1546,
C26,10nF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15195,
C29,470nF,C_0402_1005Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C47339,
"C2, C5",2.2uF,C_0805_2012Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C49217,
"C4, C6",10uF,C_0805_2012Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15850,
C17,22uF,C_0805_2012Metric,1,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C45783,
"C30, C32",10uF,C_1206_3216Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C13585,
"C31, C34",47uF,C_1206_3216Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C96123,
"C33, C35",100uF,C_1210_3225Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C15008,
"R2, R4, R7, R10, R13, R14, R17, R18, R19, R20, R21, R22, R23, R24, R27, R30, R33, R44, R45, R46",10K,R_0402_1005Metric,20,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25744,
"R5, R8, R25, R28, R31, R34",8.2K,R_0402_1005Metric,6,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25924,
"R9, R26, R29, R32, R35, R37",20K,R_0402_1005Metric,6,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25765,
"R1, R16",330R,R_0402_1005Metric,2,Cut Tape Package,Visual Inspection,Lead-Free(Rohs),Standard Reflow Profile,C25104,
