Designator,MidX,MidY,Rotation,Layer
C1,116.38,-96.35,180,top
C2,150.02,-111.73,270,top
C3,123.35,-124.29,180,top
C4,146.03,-114.83,0,top
C5,126.16,-129.53,0,top
C6,122.54,-122.36,180,top
C12,144.89,-109.38,0,top
C14,115.36,-108.445,270,top
C15,123.5,-109.6,270,top
C16,123.5,-107.735,90,top
C17,109.98,-116.7975,270,top
C18,111.46,-116.445,270,top
C19,119.27,-124.8,0,top
C20,119.28,-126.69,0,top
C21,119.28,-125.75,180,top
C22,110.4,-113.905,90,top
C23,109.46,-113.905,90,top
C24,149.82,-103.71,0,top
C25,151.715,-102.7575,180,top
C26,153.13,-103.265,270,top
C27,154.75,-104.815,270,top
C28,158.1,-104.35,0,top
C29,159.35388,-101.91326,270,top
C30,156.72914,-111.60208,270,top
C31,158.98,-111.6,270,top
C32,154.4897,-111.6006,270,top
C33,137.6316,-86.4676,90,top
C34,152.23,-111.59,270,top
C35,140.77,-86.47,90,top
C36,142.93,-86.565,90,top
D1,87.58,-115.8125,270,top
D2,166.53,-99.3475,270,top
D3,106.8375,-88.15,180,top
D4,142.41,-111.61,270,top
D5,125.19,-119.11,270,top
D6,86.61,-95.0325,90,top
D7,117.1028,-128.8076,0,top
D8,114.5516,-128.8076,180,top
D9,70.4,-90.85,0,top
D10,70.64,-127.39,0,top
D11,132.714,-127.8784,0,top
D12,127.8968,-93.9779,270,top
D13,118.57,-83.25,180,top
F1,105.13563,-84.69,0,top
F2,75.6312,-94.316,0,top
F3,75.7074,-123.9324,0,top
F4,135.665,-123.35,0,top
F5,136,-94,0,top
F6,142.36,-107.06,270,top
F7,123.78,-115.27,0,top
IC1,147.14,-111.86,90,top
IC2,123.99,-126.74,0,top
IC3,156.05,-102.05,0,top
J1,139.38,-133.81,90,top
J2,85.05,-133.8,270,top
J7,97.8,-131.3,180,top
L1,144.42,-111.8175,270,top
L2,125.18,-123.1325,90,top
L3,150.9,-89.1,180,top
Q1,111.68,-125.08,270,top
Q2,157.85,-98.05,0,top
Q3,153.84,-98.06,0,top
R1,88.81,-116.115,270,top
R2,156.19204,-105.38662,0,top
R3,158.045,-105.38,0,top
R4,111.02,-92.32,270,top
R5,111.03,-94.19,270,top
R6,166.24,-101.775,90,top
R7,102.45,-87.9,0,top
R8,102.45,-88.85,180,top
R9,104.39,-87.9,0,top
R10,147.36,-116.5,180,top
R11,121.08,-128.7,0,top
R12,145.47,-116.5,0,top
R13,121.54,-127.26,270,top
R14,121.39,-98.74,90,top
R16,88.385,-94.2,180,top
R17,118.255,-113.3,0,top
R18,109.42,-99.915,90,top
R19,88.86,-113.885,90,top
R20,88.88,-111.04,270,top
R21,111.09,-122.95,180,top
R22,112.55,-122.5,270,top
R23,111.86,-114.37,180,top
R24,74.775,-90.86,0,top
R25,74.775,-89.93,180,top
R26,72.865,-90.85,180,top
R27,72.074,-109.2,180,top
R28,70.215,-109.2,180,top
R29,73.115,-127.13,180,top
R30,131.07,-126.62,180,top
R31,129.215,-126.62,180,top
R32,133.0464,-126.6232,0,top
R33,132.09,-108.49,180,top
R34,130.225,-108.49,180,top
R35,129.1668,-94.2802,270,top
R36,150.2569,-102.30298,90,top
R37,148.865,-102.75,0,top
R38,151.69394,-103.71048,180,top
R39,152.665,-104.69,180,top
R40,151.71472,-101.81516,180,top
R41,156.2,-104.35,180,top
R42,160.29622,-101.91298,270,top
R43,118.35,-84.54,180,top
R44,105.65,-97.49,180,top
R45,119.74,-96.45,0,top
R46,117.83,-95.44,90,top
SW1,102.616,-122.174,0,top
SW2,107.696,-132.588,90,top
U1,116.88772,-100.58674,0,top
U2,118.1608,-109.7788,270,top
U3,99.1108,-108.6612,180,top
U4,115.68,-125.25,90,top
Y1,121.78,-108.69,270,top
