Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",71.554100,-37.134800,0.000000,top
"C3","10uF","C_0805_2012Metric",71.549500,-35.242500,0.000000,top
"C4","22uF","C_0805_2012Metric",68.199000,-35.255200,0.000000,top
"C5","1000pF","C_0402_1005Metric",34.876600,-14.516100,0.000000,top
"C6","100pF","C_0402_1005Metric",40.002600,-11.277600,0.000000,top
"C7","10nF","C_0402_1005Metric",38.252400,-11.823700,270.000000,top
"C8","1uF","C_0402_1005Metric",42.037000,-17.043400,0.000000,top
"C9","4.7uF","C_0402_1005Metric",44.107100,-17.018000,180.000000,top
"C10","470nF","C_0402_1005Metric",45.923200,-14.442300,270.000000,top
"C11","10uF","C_0805_2012Metric",53.261500,-11.430000,0.000000,top
"C12","10uF","C_0805_2012Metric",53.261500,-9.525000,0.000000,top
"C13","100uF","C_1210_3225Metric",16.459200,-4.826000,90.000000,top
"C14","100uF","C_1210_3225Metric",19.697700,-4.838700,90.000000,top
"C15","1uF","C_0402_1005Metric",21.844000,-4.279900,90.000000,top
"C16","0.1uF","C_0402_1005Metric",71.577200,-38.658800,0.000000,top
"C17","22uF","C_0805_2012Metric",68.199000,-37.211000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",67.881500,-27.790000,270.000000,top
"C25","0.1uF","C_0402_1005Metric",42.212500,-26.698500,270.000000,top
"C26","10pF","C_0402_1005Metric",48.645000,-30.734500,90.000000,top
"C27","10pF","C_0402_1005Metric",48.645000,-24.369500,270.000000,top
"F1","Fuse","Fuse_1206_3216Metric",7.112000,-33.274000,0.000000,top
"F2","Fuse","Fuse_1206_3216Metric",5.867400,-9.755900,90.000000,top
"F3","Fuse","Fuse_1206_3216Metric",84.010500,-16.931400,270.000000,top
"F4","Fuse","Fuse_1206_3216Metric",82.979500,-53.543200,180.000000,top
"IC1","TPS562201DDCR","SOT95P280X110-6N",70.231000,-28.194000,90.000000,top
"IC2","TPS40192DRCT","SON50P300X300X100-11N",43.103800,-14.732000,0.000000,top
"L1","L","L_Bourns_SRP1245A",30.861000,-7.162800,180.000000,top
"L2","4.7uH","L_0805_2012Metric",68.069700,-32.512000,0.000000,top
"Q1","BUK9M120-100EX","VSON-8_3.3x3.3mm_P0.65mm_NexFET",48.807200,-10.464400,0.000000,top
"Q2","BUK9M120-100EX","VSON-8_3.3x3.3mm_P0.65mm_NexFET",44.221400,-10.312400,0.000000,top
"R1","2.18k","R_0402_1005Metric",39.852600,-14.185900,180.000000,top
"R2","20k","R_0402_1005Metric",39.850200,-13.220700,0.000000,top
"R3","2.61k","R_0402_1005Metric",36.738700,-14.528800,180.000000,top
"R4","4.22k","R_0402_1005Metric",40.007400,-12.255500,0.000000,top
"R5","3.9k","R_0402_1005Metric",39.829600,-15.328900,180.000000,top
"R6","100k","R_0402_1005Metric",41.783000,-11.889600,270.000000,top
"R7","100k","R_0402_1005Metric",43.992800,-18.034000,180.000000,top
"R8","100k","R_0402_1005Metric",46.888400,-14.450200,270.000000,top
"R9","10K","R_0402_1005Metric",52.768500,-39.535100,0.000000,top
"R10","10K","R_0402_1005Metric",50.370600,-39.522400,180.000000,top
"R11","10K","R_0402_1005Metric",71.691500,-25.527000,180.000000,top
"R12","33.2K","R_0402_1005Metric",71.247000,-24.130000,270.000000,top
"R13","10K","R_0402_1005Metric",70.231000,-24.892000,270.000000,top
"R18","10K","R_0402_1005Metric",44.752500,-31.992000,270.000000,top
"R19","10K","R_0402_1005Metric",46.733520,-18.240160,180.000000,top
"R20","6.2k","R_0402_1005Metric",48.333520,-17.755160,270.000000,top
"U4","BNO055","LGA-28_5.2x3.8mm_P0.5mm",45.010000,-27.970000,270.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",48.645000,-27.634500,270.000000,top
