### Module positions - created on Thu 03 Oct 2019 08:13:05 PM EDT ###
### Printed by Pcbnew version kicad 5.1.4-e60b266~84~ubuntu18.04.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val             Package                               PosX       PosY       Rot  Side
C1        10uF            C_0805_2012Metric                  71.5541   -37.1348    0.0000  top
C3        10uF            C_0805_2012Metric                  71.5495   -35.2425    0.0000  top
C4        22uF            C_0805_2012Metric                  68.1990   -35.2552    0.0000  top
C5        1000pF          C_0402_1005Metric                  34.8766   -14.5161    0.0000  top
C6        100pF           C_0402_1005Metric                  40.0026   -11.2776    0.0000  top
C7        10nF            C_0402_1005Metric                  38.2524   -11.8237  270.0000  top
C8        1uF             C_0402_1005Metric                  42.0370   -17.0434    0.0000  top
C9        4.7uF           C_0402_1005Metric                  44.1071   -17.0180  180.0000  top
C10       470nF           C_0402_1005Metric                  45.9232   -14.4423  270.0000  top
C11       10uF            C_0805_2012Metric                  53.2615   -11.4300    0.0000  top
C12       10uF            C_0805_2012Metric                  53.2615    -9.5250    0.0000  top
C13       100uF           C_1210_3225Metric                  16.4592    -4.8260   90.0000  top
C14       100uF           C_1210_3225Metric                  19.6977    -4.8387   90.0000  top
C15       1uF             C_0402_1005Metric                  21.8440    -4.2799   90.0000  top
C16       0.1uF           C_0402_1005Metric                  71.5772   -38.6588    0.0000  top
C17       22uF            C_0805_2012Metric                  68.1990   -37.2110    0.0000  top
C18       0.1uF           C_0402_1005Metric                  67.8815   -27.7900  270.0000  top
C25       0.1uF           C_0402_1005Metric                  42.2125   -26.6985  270.0000  top
C26       10pF            C_0402_1005Metric                  48.6450   -30.7345   90.0000  top
C27       10pF            C_0402_1005Metric                  48.6450   -24.3695  270.0000  top
F1        Fuse            Fuse_1206_3216Metric                7.1120   -33.2740    0.0000  top
F2        Fuse            Fuse_1206_3216Metric                5.8674    -9.7559   90.0000  top
F3        Fuse            Fuse_1206_3216Metric               84.0105   -16.9314  270.0000  top
F4        Fuse            Fuse_1206_3216Metric               82.9795   -53.5432  180.0000  top
IC1       TPS562201DDCR   SOT95P280X110-6N                   70.2310   -28.1940   90.0000  top
IC2       TPS40192DRCT    SON50P300X300X100-11N              43.1038   -14.7320    0.0000  top
L1        L               L_Bourns_SRP1245A                  30.8610    -7.1628  180.0000  top
L2        4.7uH           L_0805_2012Metric                  68.0697   -32.5120    0.0000  top
Q1        BUK9M120-100EX  VSON-8_3.3x3.3mm_P0.65mm_NexFET    48.8072   -10.4644    0.0000  top
Q2        BUK9M120-100EX  VSON-8_3.3x3.3mm_P0.65mm_NexFET    44.2214   -10.3124    0.0000  top
R1        2.18k           R_0402_1005Metric                  39.8526   -14.1859  180.0000  top
R2        20k             R_0402_1005Metric                  39.8502   -13.2207    0.0000  top
R3        2.61k           R_0402_1005Metric                  36.7387   -14.5288  180.0000  top
R4        4.22k           R_0402_1005Metric                  40.0074   -12.2555    0.0000  top
R5        3.9k            R_0402_1005Metric                  39.8296   -15.3289  180.0000  top
R6        100k            R_0402_1005Metric                  41.7830   -11.8896  270.0000  top
R7        100k            R_0402_1005Metric                  43.9928   -18.0340  180.0000  top
R8        100k            R_0402_1005Metric                  46.8884   -14.4502  270.0000  top
R9        10K             R_0402_1005Metric                  52.7685   -39.5351    0.0000  top
R10       10K             R_0402_1005Metric                  50.3706   -39.5224  180.0000  top
R11       10K             R_0402_1005Metric                  71.6915   -25.5270  180.0000  top
R12       33.2K           R_0402_1005Metric                  71.2470   -24.1300  270.0000  top
R13       10K             R_0402_1005Metric                  70.2310   -24.8920  270.0000  top
R18       10K             R_0402_1005Metric                  44.7525   -31.9920  270.0000  top
R19       10K             R_0402_1005Metric                  46.7335   -18.2402  180.0000  top
R20       6.2k            R_0402_1005Metric                  48.3335   -17.7552  270.0000  top
U4        BNO055          LGA-28_5.2x3.8mm_P0.5mm            45.0100   -27.9700  270.0000  top
Y1        32.768kHz       Crystal_SMD_3215-2Pin_3.2x1.5mm    48.6450   -27.6345  270.0000  top
## End
