Comment,Designator,Footprint,LCSC
"0.1uF","C1,C3,C12,C14,C18,C20,C21,C22,C23","Capacitor_SMD:C_0402_1005Metric",""
"10pF","C15,C16","Capacitor_SMD:C_0402_1005Metric",""
"22uF","C17","Capacitor_SMD:C_0805_2012Metric",""
"4.7uF","C19,C28","Capacitor_SMD:C_0402_1005Metric",""
"2.2uF","C2,C5","Capacitor_SMD:C_0805_2012Metric",""
"1000pF","C24","Capacitor_SMD:C_0402_1005Metric",""
"100pF","C25","Capacitor_SMD:C_0402_1005Metric",""
"10nF","C26","Capacitor_SMD:C_0402_1005Metric",""
"1uF","C27,C36","Capacitor_SMD:C_0402_1005Metric",""
"470nF","C29","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C30,C32","Capacitor_SMD:C_1206_3216Metric",""
"47uF","C31,C34","Capacitor_SMD:C_1206_3216Metric",""
"100uF","C33,C35","Capacitor_SMD:C_1210_3225Metric",""
"10uF","C4,C6","Capacitor_SMD:C_0805_2012Metric",""
"LED","D1,D2,D3,D6,D9,D10,D11,D12,D13","LED_SMD:LED_0603_1608Metric",""
"DIODE","D4,D5","Diode_SMD:D_SOD-123F",""
"D_TVS","D7,D8","Diode_SMD:D_SOD-523",""
"Fuse","F1,F2,F3,F4,F5","01550900M:0154.250DR",""
"Fuse","F6,F7","Fuse:Fuse_1206_3216Metric",""
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"LMR14010A","IC1,IC2","Package_TO_SOT_SMD:SOT-23-6",""
"TPS40192DRCT-TPS40192DRCT","IC3","Package_SON:VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm",""
"Qwiic connector","J1,J2,J26,J27,J28,J29","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",""
"Conn_01x02_Female","J25","RC-Battery-Connectors:XT-60_male",""
"Conn_01x03_Male","J3,J4,J5,J6,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Micro_SD_Card","J7","Connector_Card:microSD_HC_Molex_104031-0811",""
"USB_C_Receptacle","J8","C167321:C167321",""
"10uH","L1,L2","Inductor_SMD:L_0805_2012Metric",""
"1uH","L3","Inductor_SMD:L_Bourns_SRP1245A",""
"MBT3904DW1","Q1","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"BUK9M17-30EX / BUK7M10-40E","Q2,Q3","Package_SON:VSON-8_3.3x3.3mm_P0.65mm_NexFET",""
"330R","R1,R16","Resistor_SMD:R_0402_1005Metric",""
"33.2","R11,R12","Resistor_SMD:R_0402_1005Metric",""
"10K","R2,R4,R7,R10,R13,R14,R17,R18,R19,R20,R21,R22,R23,R24,R27,R30,R33,R44,R45,R46","Resistor_SMD:R_0402_1005Metric",""
"2.4K","R3","Resistor_SMD:R_0402_1005Metric",""
"2.18k","R36","Resistor_SMD:R_0402_1005Metric",""
"20k","R37","Resistor_SMD:R_0402_1005Metric",""
"2.61k","R38","Resistor_SMD:R_0402_1005Metric",""
"4.22k","R39","Resistor_SMD:R_0402_1005Metric",""
"12k","R40","Resistor_SMD:R_0402_1005Metric",""
"100k","R41,R42","Resistor_SMD:R_0402_1005Metric",""
"1K","R43","Resistor_SMD:R_0402_1005Metric",""
"8.2K","R5,R8,R25,R28,R31,R34","Resistor_SMD:R_0402_1005Metric",""
"120K","R6","Resistor_SMD:R_0402_1005Metric",""
"20K","R9,R26,R29,R32,R35","Resistor_SMD:R_0402_1005Metric",""
"SW_SPST","SW1,SW2","Button_Switch_SMD:SW_SPST_EVQPE1",""
"Check for life","TP1","TestPoint:TestPoint_Pad_D1.5mm",""
"GND","TP10","TestPoint:TestPoint_Pad_D2.5mm",""
"6V","TP11","TestPoint:TestPoint_Pad_D2.5mm",""
"SDA","TP2,TP12","TestPoint:TestPoint_Pad_D1.5mm",""
"SCL","TP3,TP13","TestPoint:TestPoint_Pad_D1.5mm",""
"3.3v","TP4","TestPoint:TestPoint_Pad_D1.5mm",""
"TestPoint","TP5,TP6,TP7,TP8,TP14,TP15","TestPoint:TestPoint_Pad_D1.5mm",""
"Batt+","TP9","TestPoint:TestPoint_Pad_D2.5mm",""
"PCA9685BS","U1","Package_DFN_QFN:QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm",""
"BNO055","U2","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm",""
"ESP32-WROOM-32","U3","RF_Module:ESP32-WROOM-32",""
"CP2102N-A01-GQFN24","U4","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",""
"32.768kHz","Y1","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm",""
