Designator,Footprint,Quantity,Value,JLCPCB Part #
AC1,BNO085,1,BNO055,
"C1, C12, C14, C18, C22, C23, C3",C_0402_1005Metric,7,0.1uF,C56392
"C15, C16",C_0402_1005Metric,2,10pF,C32949
C17,C_0805_2012Metric,1,22uF,C45783
"C2, C5",C_0805_2012Metric,2,2.2uF,C49217
C24,C_0402_1005Metric,1,1000pF,C1523
C25,C_0402_1005Metric,1,100pF,C1546
C26,C_0402_1005Metric,1,10nF,C15195
"C27, C36",C_0402_1005Metric,2,1uF,C52923
C28,C_0402_1005Metric,1,4.7uF,C23733
C29,C_0402_1005Metric,1,470nF,C1623
"C30, C32",C_1206_3216Metric,2,10uF,C13585
"C31, C34",C_1206_3216Metric,2,47uF,C403725
"C33, C35",C_1210_3225Metric,2,100uF,C90143
"C4, C6",C_0805_2012Metric,2,10uF,C15850
"D1, D10, D11, D12, D13, D2, D3, D6, D9",LED_0603_1608Metric,9,LED,C72038
"D4, D5",D_SOD-123F,2,DIODE,C8598
"D7, D8",D_SOD-523,2,D_TVS,C383211
"F1, F2, F3, F4, F5",0154.250DR,5,Fuse,C108518
"F6, F7",Fuse_1206_3216Metric,2,Fuse,C70076
"IC1, IC2",SOT-23-6,2,LMR14010A,C388174
IC3,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,TPS40192DRCT-TPS40192DRCT,C14379
IC4,ESP32S3MINI1N8,1,ESP32-S3-MINI-1-N8,C2913206
"J1, J2",Molex_PicoBlade_53398-0271_1x02-1MP_P1.25mm_Vertical,2,BATT_SERIAL,C122410
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J3, J4, J5, J6, J9",PinHeader_1x03_P2.54mm_Vertical,20,Conn_01x03_Male,C49257
J25,XT-60_male,1,Conn_01x02_Female,C99101
J8,C167321,1,USB_C_Receptacle,C2874568
"L1, L2",L_0805_2012Metric,2,10uH,C1046
L3,L_Bourns_SRP1245A,1,1uH,C208109
"Q2, Q3",DFN-8,2,AON7262E,C176755
"R1, R16",R_0402_1005Metric,2,330R,C25104
"R10, R13, R15, R17, R19, R2, R20, R23, R24, R27, R30, R33, R4, R7",R_0402_1005Metric,14,10K,C25744
"R11, R12",R_0402_1005Metric,2,33.2K,C122548
"R14, R18",R_0402_1005Metric,2,5.1K,C25905
"R25, R28, R31, R34, R5, R8",R_0402_1005Metric,6,8.2K,C103169
"R26, R29, R32, R35, R37, R9",R_0402_1005Metric,6,20K,C93942
"R3, R36",R_0402_1005Metric,2,2.18K,C114762
R38,R_0402_1005Metric,1,2.61k,C226961
R39,R_0402_1005Metric,1,4.22k,C100423
"R41, R42",R_0402_1005Metric,2,100k,C25741
R43,R_0402_1005Metric,1,1K,C11702
R6,R_0402_1005Metric,1,120K,C93945
"SW1, SW2",SW_SPST_EVQPE1,2,SW_SPST,C2837195
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768kHz,C96341
